id,Q,S,petal_loc,offset_x,offset_y,rot_z,obsX,obsY,obsZ,ptlX,ptlY,ptlZ,x_cmm,dx,y_cmm,dy,z_cmm,dz
3011,30.87138,63.1867,3.0,-0.0133,-0.0258,0.000211098,54.23299610535504,32.420996146344024,-0.4055257908192461,54.25314435040544,32.435344138860835,-0.4055257908192461,54.23182364,0.02132071040544048,32.420116355000005,0.015227783860829902,-0.485090854999999,0.07956506418075288
3075,15.066139999999999,158.4591,3.0,-0.0133,-0.0258,0.000211098,152.98299309167191,41.18100480204511,-2.6607293694483745,153.00498835674904,41.17450667266957,-2.6607293694483745,152.97929915999995,0.02568919674908443,41.179510215,-0.00500354233042799,-2.7745703249999987,0.11384095555162421
3150,3.32114,242.1558,3.0,-0.0133,-0.0258,0.000211098,241.6339944703598,14.02198067821908,-6.401191345974464,241.65025454455585,13.996769105028672,-6.401191345974464,241.626666715,0.023587829555850703,14.02186476,-0.025095654971327264,-6.539233135,0.13804178902553588
3239,34.75535,262.8391,3.0,-0.0133,-0.0258,0.000211098,215.8249815686411,149.75297036804568,-7.571503077791901,215.86989475814124,149.73320400157337,-7.571503077791901,215.81828893,0.05160582814124837,149.748673735,-0.015469733426641596,-7.69941112,0.12790804220809893
3321,15.80897,316.4,3.0,-0.0133,-0.0258,0.000211098,304.18102336213104,86.12599035755485,-11.039050599457644,304.2125030548276,86.08757362519492,-11.039050599457644,304.1726920800001,0.03981097482750329,86.12419425000002,-0.03662062480509576,-11.159405494999998,0.1203548955423539
3439,2.00235,410.0323,3.0,-0.0133,-0.0258,0.000211098,409.189997925656,14.306033111112905,-18.87129684274544,409.2063142294062,14.245450794638767,-18.87129684274544,409.177041685,0.029272544406182988,14.305453839999998,-0.060003045361231244,-18.997904395,0.12660755225455844
3482,8.32523,408.862,3.0,-0.0133,-0.0258,0.000211098,403.9729844805734,59.11497065767453,-18.756596032866085,403.9987599775928,59.05548864390032,-18.756596032866085,403.964919415,0.03384056259278623,59.11414922499999,-0.05866058109967298,-18.841249800000003,0.08465376713391848
3517,16.06723,410.6469,3.0,-0.0133,-0.0258,0.000211098,394.03402883604076,113.48797786331622,-18.93171358550449,394.0712825875017,113.43059273169017,-18.93171358550449,394.02425361,0.04702897750166812,113.48506203,-0.05446929830982583,-19.02973409,0.09802050449551203
3534,25.68357,408.6978,3.0,-0.0133,-0.0258,0.000211098,367.79101378237124,176.87598439639436,-18.740538828034463,367.8416491998613,176.82413770035922,-18.740538828034463,367.77945567,0.06219352986130389,176.87083576499995,-0.04669806464073645,-18.86918819,0.128649361965536
3541,35.061,361.2189,3.0,-0.0133,-0.0258,0.000211098,295.3510534892829,207.27599939301777,-14.46655695110955,295.40810790313907,207.2394439502587,-14.46655695110955,295.332581765,0.07552613813908238,207.263367475,-0.023923524741292113,-14.743447455,0.2768905038904492
3542,29.5799,410.9002,3.0,-0.0133,-0.0258,0.000211098,356.828059482198,202.54100702986446,-18.956649342947745,356.8841129788633,202.49147401969194,-18.956649342947745,356.800498735,0.08361424386328054,202.525551555,-0.03407753530805735,-19.27535677,0.31870742705225297
4011,66.63786,63.4248,4.0,-0.0104,0.0815,0.628135812,25.14985806183761,58.22341725437923,-0.40862038957329716,54.52414445623124,32.258933631931704,-0.40862038957329716,54.49057974,0.0335647162312398,32.257152555,0.0017810769317065933,-0.4270556,0.01843521042670282
4150,39.38876,242.0437,4.0,-0.0104,0.0815,0.628135812,186.97644512121838,153.52276476592812,-6.395105224107937,241.4634441095568,14.272601028022265,-6.395105224107937,241.430763775,0.03268033455680097,14.310093509999998,-0.037492481977732695,-6.459309944999998,0.06420472089206175
4321,51.81969,316.3826,4.0,-0.0104,0.0815,0.628135812,195.406809602929,248.49343296796243,-11.037818761771447,304.09297597758257,86.16168644456744,-11.037818761771447,304.040208935,0.05276704258255904,86.210614375,-0.048927930432569156,-11.152610420000002,0.11479165822855464
4439,37.91965,410.2831,4.0,-0.0104,0.0815,0.628135812,323.1932060999007,251.7771085355221,-18.895936253844717,409.41767548434734,13.72652006300973,-18.895936253844717,409.38322859,0.03444689434735437,13.800277045,-0.07375698199026992,-18.94291052,0.046974266155284994
4482,44.35564,409.3664,4.0,-0.0104,0.0815,0.628135812,292.2815706633586,285.7802951555833,-18.805976865067937,404.3878624745644,59.40416105690318,-18.805976865067937,404.340232135,0.04763033956436402,59.47524291,-0.07108185309682113,-18.891694195,0.08571732993206282
4496,65.25851999999999,379.6649,4.0,-0.0104,0.0815,0.628135812,158.7066083889901,344.3959346136491,-16.041277080159425,330.75384704800115,185.32515020421562,-16.041277080159425,330.683837575,0.07000947300116422,185.37932743,-0.054177225784371785,-16.094368275,0.053091194840575895
4517,52.06528,410.5139,4.0,-0.0104,0.0815,0.628135812,252.0033062980108,323.30812482236973,-18.918628925157964,393.850493784014,113.43785832873152,-18.918628925157964,393.79735575,0.05313803401401174,113.506823375,-0.06896504626847388,-18.940266915,0.021637989842034244
4534,61.58651999999999,408.7464,4.0,-0.0104,0.0815,0.628135812,194.21538187142428,358.9919356673747,-18.74529052882974,368.0620177855112,176.26884647653657,-18.74529052882974,367.99316469,0.06885309551120145,176.33021684,-0.06137036346342484,-18.800554745,0.055264216170257896
4541,71.10982,361.4733,4.0,-0.0104,0.0815,0.628135812,116.90148001753651,341.63233712567603,-14.48757528423402,295.30430516614916,207.6553138757176,-14.48757528423402,295.222127645,0.08217752114916266,207.695503595,-0.04018971928238102,-14.663760915,0.17618563076597837
